Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),year,site
01-01-2020 0:00,113.3,183.55,16.89,61.9,78.79,57.49,12,1.17,30.55,74.77,0.8,62.06,0,0,58.31,0,0.05,2020,1418
02-01-2020 0:00,83.57,129.6,12.11,44.81,56.92,55.21,11.03,0.85,26.24,78.52,0.89,78.19,0,0,80.94,0,0.05,2020,1418
03-01-2020 0:00,47.43,75.09,5.26,31.87,37.12,43.01,14.7,0.66,19.01,89,0.73,168.65,0.15,14.2,78.97,0,0.06,2020,1418
04-01-2020 0:00,51.88,91.35,6.18,32.58,38.71,36.35,10.49,0.79,25.1,87.53,0.76,165.83,0,0.4,96.33,999.12,0.05,2020,1418
05-01-2020 0:00,46.28,78.11,7.34,34.82,42.14,33.02,10.42,0.54,33.69,75.26,0.89,81.18,0,0,136.5,999.7,0.04,2020,1418
06-01-2020 0:00,74.69,131.34,6.79,44.05,50.84,37.57,11.83,0.87,32.28,73.66,0.81,150.05,0,0,139.7,0,0.05,2020,1418
07-01-2020 0:00,116.45,196.31,5.71,49.55,55.26,52.69,10.9,1.1,31.87,79.42,0.68,170.43,0,0,97.89,999.59,0.05,2020,1418
08-01-2020 0:00,138.63,223.01,18.5,50.36,68.85,66.3,12.09,1.29,32.92,76.87,0.65,157.1,0,0.2,101.6,999.3,0.04,2020,1418
09-01-2020 0:00,108.82,168.63,8.36,43.03,51.44,55.09,13.9,0.95,25.71,89.55,0.66,170.51,0.08,7.2,75.21,999.73,0.03,2020,1418
10-01-2020 0:00,80.92,137.6,4.86,29.54,34.4,39.45,11.65,0.47,41.89,72.44,0.89,23.28,0,0,127.13,0,0.03,2020,1418
11-01-2020 0:00,61.29,102.97,4.22,28.27,32.49,36.62,7.57,0.41,44.7,74.47,0.95,54.74,0,0,143.91,0,0.04,2020,1418
12-01-2020 0:00,61.9,111.2,6.32,30.89,37.21,38.4,8.69,0.48,55.77,64.36,0.89,68.34,0,0,154.79,999.05,0.04,2020,1418
13-01-2020 00:00,97.62,178.78,11.89,54.45,66.34,56.2,13.05,1.05,39.4,67.98,0.78,163.75,0,0,138.71,998.4,0.03,2020,1418
14-01-2020 00:00,162.36,267.42,19.85,71.04,90.82,77.31,16.66,1.99,38.42,72.9,0.65,190.98,0,0,127.24,998.59,0.05,2020,1418
15-01-2020 00:00,120.92,215.05,23.44,66.99,89.91,76.21,17.03,1.74,36.76,70.68,0.72,165.28,0,0,124.66,999.37,0.06,2020,1418
16-01-2020 00:00,129.8,219.2,12.68,54.67,67.29,63.47,9.76,1.12,38.83,74.18,0.74,195.2,0,0,109.75,999.15,0.04,2020,1418
