class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,population,habitat,
Poisonious,Convex,Smooth,Brown,TRUE,Pungent,Free,Close,Narrow,Black,Scattered,Urban,
Edible,Convex,Smooth,yellow,TRUE,Almond,Free,Close,Broad,Black,Numerous,Grasses,
Edible,Bell,Smooth,White,TRUE,Anise,Free,Close,Broad,Brown,Numerous,Meadows,
Poisonious,Convex,Scaly,White,TRUE,Pungent,Free,Close,Narrow,Brown,Scattered,Urban,
Edible,Convex,Smooth,Gray,FALSE,None,Free,Crowded,Broad,Black,Abundant,Grasses,
Edible,Convex,Scaly,yellow,TRUE,Almond,Free,Close,Broad,Brown,Numerous,Grasses,
Edible,Bell,Smooth,White,TRUE,Almond,Free,Close,Broad,Gray,Numerous,Meadows,
Edible,Bell,Scaly,White,TRUE,Anise,Free,Close,Broad,Brown,Scattered,Meadows,
Poisonious,Convex,Scaly,White,TRUE,Pungent,Free,Close,Narrow,Pink,Several,Grasses,
Edible,Bell,Smooth,yellow,TRUE,Almond,Free,Close,Broad,Gray,Scattered,Meadows,
Edible,Convex,Scaly,yellow,TRUE,Anise,Free,Close,Broad,Gray,Numerous,Grasses,
Edible,Convex,Scaly,yellow,TRUE,Almond,Free,Close,Broad,Brown,Scattered,Meadows,
Edible,Bell,Smooth,yellow,TRUE,Almond,Free,Close,Broad,White,Scattered,Grasses,
Poisonious,Convex,Scaly,White,TRUE,Pungent,Free,Close,Narrow,Black,Several,Urban,
Edible,Convex,Fibrous,Brown,FALSE,None,Free,Crowded,Broad,Brown,Abundant,Grasses,
Edible,Sunken,Fibrous,Gray,FALSE,None,Free,Close,Narrow,Black,Solitary,Urban,
Edible,Flat,Fibrous,White,FALSE,None,Free,Crowded,Broad,Black,Abundant,Grasses,
Poisonious,Convex,Smooth,Brown,TRUE,Pungent,Free,Close,Narrow,Brown,Scattered,Grasses,
Poisonious,Convex,Scaly,White,TRUE,Pungent,Free,Close,Narrow,Brown,Scattered,Urban,
Poisonious,Convex,Smooth,Brown,TRUE,Pungent,Free,Close,Narrow,Black,Scattered,Urban,
Edible,Bell,Smooth,yellow,TRUE,Almond,Free,Close,Broad,Black,Scattered,Meadows,
Poisonious,Convex,Scaly,Brown,TRUE,Pungent,Free,Close,Narrow,Brown,Several,Grasses,
Edible,Bell,Scaly,yellow,TRUE,Anise,Free,Close,Broad,Black,Scattered,Meadows,
Edible,Bell,Scaly,White,TRUE,Almond,Free,Close,Broad,White,Numerous,Meadows,
Edible,Bell,Smooth,White,TRUE,Anise,Free,Close,Broad,Gray,Scattered,Meadows,
Poisonious,Flat,Smooth,White,TRUE,Pungent,Free,Close,Narrow,Brown,Several,Grasses,
Edible,Convex,Scaly,yellow,TRUE,Almond,Free,Close,Broad,Brown,Numerous,Meadows,
Edible,Convex,Scaly,White,TRUE,Anise,Free,Close,Broad,White,Numerous,Meadows,
Edible,Flat,Fibrous,Brown,FALSE,None,Free,Close,Narrow,Black,Solitary,Urban,
Edible,Convex,Smooth,yellow,TRUE,Almond,Free,Crowded,Narrow,Brown,Several,Woods,
Edible,Bell,Smooth,yellow,TRUE,Anise,Free,Close,Broad,Gray,Numerous,Meadows,
Poisonious,Convex,Scaly,White,TRUE,Pungent,Free,Close,Narrow,Black,Scattered,Urban,
Edible,Convex,Scaly,yellow,TRUE,Anise,Free,Close,Broad,Brown,Numerous,Meadows,
Edible,Convex,Scaly,Brown,TRUE,Anise,Free,Close,Broad,Pink,Solitary,Paths,
Edible,Bell,Scaly,yellow,TRUE,Anise,Free,Close,Broad,Brown,Scattered,Meadows,
